iter	Passed	Remaining
0	1	203
1	1	134
2	1	103
3	1	86
4	1	77
5	2	70
6	2	65
7	2	61
8	2	58
9	2	56
10	3	54
11	3	52
12	3	51
13	3	49
14	3	48
15	4	47
16	4	46
17	4	45
18	4	45
19	4	44
20	5	43
21	5	43
22	5	42
23	5	41
24	5	41
25	6	40
26	6	40
27	6	39
28	6	39
29	6	38
30	7	38
31	7	38
32	7	37
33	7	37
34	7	36
35	8	36
36	8	36
37	8	35
38	8	35
39	8	35
40	8	34
41	9	35
42	9	35
43	9	35
44	10	35
45	10	34
46	10	34
47	10	34
48	11	33
49	11	33
50	11	33
51	11	33
52	11	32
53	12	32
54	12	32
55	14	37
56	14	37
57	14	36
58	15	36
59	15	35
60	15	35
61	15	35
62	15	34
63	16	34
64	16	33
65	16	33
66	16	33
67	16	32
68	17	32
69	17	32
70	17	31
71	17	31
72	17	31
73	18	30
74	18	30
75	18	30
76	18	29
77	18	29
78	19	29
79	19	29
80	19	28
81	19	28
82	20	28
83	20	27
84	20	27
85	20	27
86	20	26
87	20	26
88	21	26
89	21	26
90	21	25
91	21	25
92	21	25
93	22	25
94	22	24
95	22	24
96	22	24
97	22	23
98	23	23
99	23	23
100	23	23
101	23	22
102	23	22
103	24	22
104	24	22
105	24	21
106	24	21
107	24	21
108	25	20
109	25	20
110	25	20
111	25	20
112	25	19
113	26	19
114	26	19
115	26	19
116	26	18
117	26	18
118	27	18
119	27	18
120	27	18
121	27	17
122	28	17
123	28	17
124	28	17
125	28	16
126	28	16
127	29	16
128	29	16
129	29	15
130	29	15
131	29	15
132	30	15
133	30	14
134	30	14
135	30	14
136	30	14
137	31	13
138	31	13
139	31	13
140	31	13
141	31	12
142	31	12
143	32	12
144	32	12
145	32	12
146	32	11
147	32	11
148	33	11
149	33	11
150	33	10
151	33	10
152	33	10
153	34	10
154	34	9
155	34	9
156	34	9
157	34	9
158	35	9
159	35	8
160	35	8
161	35	8
162	35	8
163	36	7
164	36	7
165	36	7
166	36	7
167	36	7
168	37	6
169	37	6
170	37	6
171	37	6
172	37	5
173	38	5
174	38	5
175	38	5
176	38	5
177	38	4
178	39	4
179	39	4
180	39	4
181	39	3
182	39	3
183	40	3
184	40	3
185	40	3
186	40	2
187	40	2
188	41	2
189	41	2
190	41	1
191	41	1
192	41	1
193	42	1
194	42	1
195	42	0
196	42	0
197	42	0
198	42	0
199	43	0
